epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,831.87,1.97418,2.55269,1.72189,0.38095,0.3052,0.27824,0.11787,1.95787,2.18158,1.73721,0.00999294,0.00333098,0.00999294,0.00333098,0.00999294,0.00333098,0.00999294,0.00333098
2,1471.53,1.95641,2.27456,1.69467,0.35608,0.3095,0.262,0.1081,1.99266,2.31867,1.78318,0.019861,0.00662033,0.019861,0.00662033,0.019861,0.00662033,0.019861,0.00662033
3,2015.25,2.02729,2.42536,1.78966,0.29003,0.26081,0.19367,0.07477,2.09262,2.47744,1.904,0.029597,0.00986568,0.029597,0.00986568,0.029597,0.00986568,0.029597,0.00986568
4,2565.97,2.01583,2.40051,1.80475,0.35325,0.31625,0.27427,0.11509,1.939,2.24116,1.8061,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,3105.87,1.9299,2.2367,1.73437,0.41324,0.36821,0.34321,0.15036,1.88741,2.03166,1.7539,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,3649.08,1.87974,2.15041,1.70174,0.4162,0.36941,0.33384,0.14827,1.84252,1.9877,1.70192,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,4179.81,1.84445,2.08143,1.67121,0.47572,0.43386,0.41006,0.18913,1.7711,1.81973,1.64596,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,4730.91,1.8126,2.01834,1.64437,0.45969,0.42189,0.40088,0.18328,1.79726,1.84439,1.67322,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,5273.7,1.7927,1.97212,1.62293,0.49744,0.43741,0.44098,0.20655,1.74687,1.75527,1.62646,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,5815.45,1.77772,1.93474,1.61819,0.4994,0.4509,0.45035,0.20698,1.74895,1.75844,1.63351,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,6343.76,1.76042,1.90843,1.59954,0.50631,0.46762,0.46536,0.22236,1.72022,1.70263,1.60514,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,6887.22,1.74919,1.88922,1.59166,0.54369,0.46267,0.48466,0.23426,1.68722,1.68156,1.58201,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,7426.87,1.73332,1.85367,1.57363,0.55835,0.47346,0.50304,0.23988,1.6835,1.65593,1.57802,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,7966.07,1.72315,1.82819,1.56521,0.5346,0.50955,0.51042,0.24614,1.66706,1.62909,1.55792,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,8494.37,1.71235,1.81365,1.55732,0.55712,0.49119,0.51872,0.25184,1.67168,1.60132,1.558,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,9028.28,1.70362,1.789,1.54849,0.56329,0.51039,0.53278,0.26062,1.65332,1.57974,1.54014,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,9567.84,1.6943,1.77935,1.53997,0.56319,0.49909,0.52779,0.2602,1.64748,1.57402,1.54127,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,10108,1.68424,1.75678,1.52915,0.56611,0.5197,0.54015,0.26324,1.64009,1.557,1.53333,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,10652.3,1.67947,1.74594,1.5281,0.59533,0.5165,0.55342,0.27362,1.63239,1.52722,1.52545,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,11185.7,1.67133,1.72839,1.51512,0.58489,0.52617,0.56017,0.27881,1.62562,1.51761,1.51082,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,11722.4,1.66857,1.72108,1.51608,0.59242,0.53958,0.5644,0.28414,1.61589,1.48944,1.51346,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,12267.2,1.66342,1.7149,1.5142,0.59454,0.53611,0.57362,0.2894,1.60893,1.48268,1.50649,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,12804.6,1.65485,1.69844,1.50332,0.61594,0.53377,0.57822,0.29253,1.60853,1.47702,1.50124,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,13352.7,1.64989,1.67387,1.49288,0.59823,0.54196,0.57716,0.29365,1.60449,1.46,1.49395,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,13893.7,1.648,1.6688,1.49203,0.60624,0.5465,0.58305,0.29357,1.60794,1.45074,1.4939,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,14423,1.63924,1.65828,1.48748,0.60112,0.55684,0.58518,0.29703,1.59789,1.44424,1.49102,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,14964.7,1.63747,1.64642,1.49064,0.5996,0.55223,0.58575,0.29793,1.5973,1.44221,1.49226,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,15507.2,1.63178,1.63232,1.48645,0.60333,0.55659,0.58855,0.30333,1.59238,1.43226,1.48332,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,16033,1.62682,1.63592,1.47969,0.60773,0.55603,0.59748,0.30695,1.58671,1.42184,1.47853,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,16577.8,1.62343,1.62651,1.47446,0.61479,0.557,0.60184,0.30921,1.58692,1.4137,1.47754,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,17121,1.62127,1.60468,1.47355,0.61735,0.55682,0.59999,0.31034,1.5858,1.40228,1.47552,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
