epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,529.419,2.84776,3.48953,3.1666,0.3098,0.26274,0.2029,0.0685,2.30089,2.39284,2.60158,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,1015.82,2.1252,2.45856,2.26791,0.34925,0.2568,0.22793,0.09309,2.07116,2.41674,2.26026,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1470.01,2.07148,2.42933,2.15128,0.19938,0.23526,0.11724,0.04181,2.2282,3.07525,2.37588,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1929.49,2.04364,2.41231,2.06348,0.32288,0.31812,0.25178,0.10256,2.01154,2.26735,2.10227,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2388.09,1.94944,2.24553,1.95951,0.43383,0.38153,0.3515,0.14974,1.89856,2.05392,1.98904,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2842.24,1.89193,2.14938,1.90112,0.42199,0.3952,0.36059,0.155,1.85327,1.983,1.93192,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3297.09,1.86018,2.08406,1.85454,0.45325,0.41605,0.3909,0.17627,1.82173,1.93695,1.87612,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3758.17,1.83026,2.0321,1.8123,0.46089,0.39831,0.38068,0.1691,1.83272,1.94888,1.87998,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4216.82,1.80289,1.97968,1.7929,0.48872,0.44158,0.43063,0.19765,1.7899,1.81707,1.83358,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4677.48,1.78735,1.94299,1.77532,0.49203,0.44986,0.44371,0.20314,1.74494,1.79224,1.79568,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,5136.23,1.76804,1.90685,1.75003,0.50791,0.4419,0.44974,0.21025,1.7571,1.78208,1.77826,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5609.68,1.75505,1.87986,1.74098,0.51282,0.45767,0.46806,0.22016,1.73954,1.71901,1.76709,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,6079.29,1.74553,1.85037,1.72209,0.53654,0.48441,0.49095,0.23326,1.70355,1.69154,1.73188,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,6533.8,1.73433,1.84176,1.70891,0.54769,0.4832,0.50171,0.24077,1.70194,1.65285,1.71688,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6978.08,1.71673,1.80259,1.69611,0.55226,0.48563,0.50887,0.2441,1.69314,1.63848,1.72253,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,7433.04,1.71014,1.7857,1.69015,0.56296,0.49959,0.52111,0.25426,1.69535,1.62412,1.71282,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,7896.69,1.70735,1.76948,1.68338,0.57264,0.51692,0.541,0.26728,1.66713,1.57689,1.6989,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,8352.29,1.69075,1.74474,1.66556,0.57194,0.5152,0.53525,0.26311,1.6755,1.56893,1.69819,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,8810.03,1.6819,1.73069,1.6556,0.57956,0.52636,0.55259,0.27083,1.65966,1.54877,1.68886,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,9260.61,1.68483,1.72654,1.65769,0.59306,0.51804,0.55704,0.27556,1.66229,1.53554,1.68189,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
