epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,438.383,2.80523,3.57616,3.18784,0.3035,0.26934,0.19799,0.06779,2.27722,2.48824,2.57,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,795.182,2.11067,2.54136,2.24763,0.31756,0.28588,0.23223,0.09481,2.05901,2.44482,2.22235,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1119.83,2.06673,2.50321,2.12567,0.27049,0.24233,0.16485,0.06023,2.18774,2.87003,2.28019,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1444.85,2.04702,2.49445,2.04358,0.36349,0.27342,0.23513,0.09585,2.06984,2.53508,2.13778,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1767.57,1.95077,2.32712,1.94045,0.38386,0.37088,0.3228,0.13537,1.93062,2.20295,1.98152,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2091.54,1.88954,2.2329,1.88461,0.38429,0.3888,0.32534,0.13939,1.89919,2.16671,1.9496,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2413.55,1.85492,2.17313,1.84277,0.42975,0.407,0.37492,0.16553,1.82973,2.06553,1.88266,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2734.99,1.8291,2.11513,1.80665,0.47082,0.42982,0.40537,0.18728,1.80289,1.94967,1.84331,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3056.86,1.80172,2.06652,1.78169,0.46704,0.44434,0.42539,0.19963,1.76748,1.90835,1.79907,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3382.01,1.78728,2.03428,1.76474,0.50418,0.42527,0.44201,0.20772,1.75278,1.9041,1.78735,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3705.98,1.76788,1.99141,1.74555,0.50939,0.44554,0.45529,0.21291,1.73103,1.86398,1.77257,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,4026.38,1.75235,1.96784,1.73196,0.50908,0.4582,0.45885,0.21507,1.73363,1.85704,1.76364,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,4342.66,1.74186,1.94365,1.71554,0.51265,0.48064,0.48255,0.23042,1.71862,1.79459,1.73781,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4666.76,1.73392,1.92755,1.70215,0.53216,0.49294,0.49336,0.23222,1.71988,1.75965,1.73229,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,4989.27,1.71824,1.90033,1.69209,0.54681,0.48445,0.50166,0.24098,1.69194,1.74813,1.71233,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,5296.46,1.71042,1.88021,1.68434,0.54293,0.49181,0.51094,0.24798,1.69155,1.72675,1.69793,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,5621.36,1.70563,1.86779,1.67696,0.55716,0.50939,0.52885,0.25714,1.67321,1.69219,1.69799,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
