epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,429.809,2.80433,3.55237,3.19049,0.30296,0.26732,0.18837,0.0642,2.3133,2.61445,2.61846,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,798.83,2.11035,2.5371,2.26384,0.32035,0.30665,0.23957,0.09623,2.04735,2.48672,2.25522,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1125.94,2.06872,2.50112,2.14618,0.24408,0.23851,0.15562,0.05806,2.19419,2.81627,2.36874,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1456.74,2.04155,2.49341,2.07087,0.33782,0.30748,0.25237,0.10121,2.0086,2.39776,2.09159,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1792.17,1.94899,2.32437,1.9576,0.43097,0.36199,0.34116,0.14216,1.92133,2.13982,1.99575,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2132.73,1.89057,2.23254,1.89375,0.43349,0.4151,0.37516,0.164,1.84439,2.04582,1.89849,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2456.65,1.85581,2.16845,1.85632,0.43099,0.39213,0.3695,0.16473,1.84792,2.06239,1.88187,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2775.6,1.82737,2.11318,1.81115,0.47818,0.42474,0.41369,0.18602,1.80907,1.95711,1.86589,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3101.64,1.80141,2.06479,1.7902,0.49072,0.43551,0.43495,0.19981,1.77367,1.90077,1.81793,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3423.28,1.79006,2.0295,1.77474,0.49249,0.4552,0.45728,0.21035,1.75281,1.86015,1.7982,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3742.27,1.76652,1.9934,1.75051,0.49509,0.44925,0.4458,0.20973,1.74421,1.86539,1.7769,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
