epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,479.831,2.80688,3.52665,3.21043,0.31727,0.274,0.20317,0.07065,2.23578,2.34982,2.54831,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,925.155,2.1078,2.46724,2.26506,0.3011,0.23824,0.19281,0.07771,2.11659,2.55228,2.29567,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1337.96,2.06232,2.43265,2.1514,0.28427,0.22685,0.16253,0.06288,2.21715,2.73488,2.37444,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1757.21,2.04004,2.42649,2.0777,0.31117,0.31972,0.24559,0.10232,1.98554,2.31485,2.07783,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2204.71,1.94409,2.25719,1.9677,0.39662,0.35786,0.31665,0.13406,1.93728,2.1159,2.0111,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2654.44,1.8916,2.1644,1.91588,0.42091,0.41329,0.37748,0.16394,1.86766,2.00229,1.92337,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3095.78,1.85812,2.08635,1.87208,0.44397,0.37638,0.36902,0.16598,1.82043,1.98346,1.88803,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3536.55,1.8329,2.03259,1.83913,0.47248,0.4228,0.40731,0.18618,1.8132,1.86545,1.87724,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3971.35,1.8036,1.98239,1.80211,0.51021,0.41881,0.42989,0.1958,1.79052,1.80826,1.84398,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4419.95,1.78993,1.9468,1.78734,0.51096,0.42009,0.43802,0.19997,1.75804,1.82486,1.83238,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4854.53,1.77049,1.90928,1.76827,0.5032,0.44754,0.44956,0.20836,1.74942,1.75727,1.78759,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5290.58,1.75468,1.88315,1.75268,0.49906,0.45891,0.46458,0.21935,1.73586,1.7119,1.77497,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,5727.66,1.74534,1.85682,1.73404,0.54441,0.47629,0.48489,0.22771,1.72245,1.7132,1.76145,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,6170.59,1.7357,1.84236,1.72209,0.54505,0.48364,0.50576,0.24223,1.69619,1.65356,1.74374,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6619,1.72046,1.80976,1.70958,0.53725,0.49011,0.50718,0.24183,1.70697,1.64668,1.74422,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,7064.09,1.71037,1.7881,1.69991,0.56191,0.49807,0.52338,0.25364,1.70346,1.6088,1.72601,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,7499.45,1.70831,1.77222,1.69704,0.54885,0.52366,0.53529,0.25821,1.67983,1.59166,1.72872,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,7933.16,1.69204,1.74633,1.6785,0.58234,0.50593,0.53739,0.26214,1.67468,1.57196,1.7054,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,8370.19,1.68478,1.73553,1.67378,0.55974,0.52234,0.54356,0.26619,1.66178,1.55918,1.70308,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,8811.52,1.68568,1.73126,1.66889,0.58822,0.52141,0.55283,0.27191,1.66605,1.55714,1.69834,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,9260.8,1.67408,1.7103,1.65692,0.58992,0.52489,0.56037,0.27928,1.65148,1.519,1.68755,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,9700.55,1.668,1.6971,1.65208,0.59773,0.51863,0.56555,0.2819,1.64032,1.50574,1.68037,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,10134.4,1.66493,1.68585,1.64416,0.59265,0.5379,0.57127,0.28457,1.63793,1.49759,1.66857,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,10569.1,1.65394,1.66638,1.6392,0.59623,0.54204,0.57919,0.28924,1.63613,1.48069,1.66829,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,11003.7,1.64742,1.65747,1.63392,0.59766,0.54314,0.58417,0.29381,1.62774,1.47137,1.65998,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,11444.9,1.63924,1.64461,1.62283,0.61352,0.54691,0.59117,0.29592,1.62347,1.45573,1.65079,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,11886.5,1.63724,1.62564,1.61218,0.61224,0.5428,0.58985,0.29787,1.61744,1.45426,1.63984,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,12322.7,1.63684,1.62693,1.61561,0.63761,0.54518,0.60005,0.30268,1.61255,1.44032,1.64196,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,12756.4,1.6217,1.60209,1.60303,0.63668,0.55212,0.60487,0.30685,1.60862,1.43037,1.63429,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,13193,1.61864,1.60685,1.60042,0.64009,0.55509,0.60573,0.30711,1.60675,1.4282,1.63307,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,13636.1,1.619,1.60043,1.59791,0.62572,0.55922,0.60672,0.30771,1.60421,1.41821,1.62928,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,14078.3,1.61601,1.58379,1.58721,0.63872,0.56145,0.61192,0.31092,1.60697,1.41389,1.62377,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,14513.1,1.61415,1.58012,1.59217,0.62846,0.5692,0.61275,0.31261,1.60525,1.40527,1.62634,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,14959.3,1.60325,1.56647,1.58114,0.63257,0.56233,0.61274,0.31318,1.60503,1.39641,1.62437,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,15391.5,1.60486,1.55804,1.5689,0.6299,0.56343,0.61254,0.31384,1.60319,1.39235,1.61867,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,15826.6,1.5974,1.54721,1.56752,0.62695,0.56662,0.61596,0.31684,1.601,1.38829,1.61439,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,16270.9,1.59344,1.54301,1.56563,0.62571,0.57937,0.62,0.31834,1.59577,1.38293,1.60988,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,16714,1.58929,1.53011,1.56054,0.62975,0.57527,0.62061,0.31973,1.59683,1.37922,1.61165,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,17157.3,1.5803,1.52236,1.55771,0.63306,0.57482,0.6207,0.31952,1.59564,1.37624,1.61041,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,17590.1,1.58218,1.51726,1.5529,0.63501,0.57289,0.62211,0.32121,1.59143,1.37079,1.60607,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,18028.2,1.5695,1.51012,1.54404,0.63808,0.57574,0.62244,0.32159,1.59114,1.36888,1.60566,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,18463.7,1.57478,1.50156,1.54318,0.6407,0.57574,0.62484,0.32254,1.59069,1.3649,1.60297,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,18907.7,1.57384,1.49209,1.54266,0.64664,0.57316,0.62815,0.32389,1.59035,1.36124,1.60264,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,19344,1.56465,1.48429,1.53129,0.65241,0.56954,0.6281,0.32485,1.59002,1.35692,1.60121,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,19788.3,1.56274,1.47279,1.52817,0.65794,0.57157,0.63078,0.32628,1.59028,1.3545,1.59994,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,20219.7,1.56056,1.46402,1.52803,0.64987,0.57904,0.63116,0.32704,1.58914,1.35368,1.59835,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,20657.6,1.55857,1.45903,1.51942,0.64854,0.58092,0.63203,0.32671,1.58965,1.352,1.59773,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
