epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,464.745,2.86506,3.50575,3.20027,0.2963,0.25104,0.19457,0.06759,2.28205,2.38361,2.57,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,858.003,2.11445,2.464,2.26803,0.36055,0.29304,0.25661,0.10121,2.06809,2.31463,2.26474,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1208.33,2.06547,2.43096,2.15805,0.25657,0.23031,0.1633,0.06087,2.23506,2.65957,2.39648,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1561.17,2.03941,2.4207,2.07723,0.30374,0.30539,0.2319,0.09486,2.00994,2.30335,2.10321,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1910.6,1.93907,2.24941,1.96624,0.40218,0.34972,0.31483,0.12928,1.93169,2.11685,2.02917,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2259.77,1.89162,2.15778,1.90907,0.40688,0.33067,0.3057,0.12913,1.91001,2.15286,1.97215,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2603.31,1.85832,2.08724,1.86549,0.44577,0.37386,0.36254,0.16111,1.84164,2.01666,1.88973,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2952.29,1.82806,2.0317,1.82236,0.45936,0.40411,0.39285,0.17956,1.83204,1.91503,1.87427,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3298.97,1.80272,1.98503,1.79299,0.46551,0.42744,0.41934,0.19102,1.79439,1.85513,1.82755,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3666.55,1.78819,1.94218,1.77924,0.4856,0.44065,0.43485,0.20008,1.75365,1.82873,1.81887,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4136.74,1.77057,1.90326,1.76046,0.51795,0.44838,0.46102,0.21391,1.75133,1.76531,1.79519,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,4679.63,1.75626,1.8832,1.74118,0.51616,0.46589,0.46763,0.22053,1.73184,1.71934,1.78001,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,5166.13,1.74428,1.85476,1.72867,0.53743,0.47037,0.48307,0.22744,1.71897,1.71677,1.74966,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,5660.37,1.73664,1.83713,1.71986,0.53464,0.49163,0.50431,0.2424,1.69816,1.65793,1.73207,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6191.89,1.71786,1.80541,1.70255,0.54958,0.48855,0.50684,0.242,1.70019,1.65087,1.73508,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,6714.15,1.70924,1.78869,1.69289,0.55266,0.49434,0.51611,0.25111,1.69282,1.61933,1.7082,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,7264.96,1.71058,1.771,1.68947,0.55965,0.51322,0.53897,0.26207,1.67003,1.57912,1.7093,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,7755.19,1.69137,1.74317,1.67232,0.57911,0.49499,0.53553,0.26276,1.66897,1.57779,1.69595,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,8237.66,1.68205,1.73534,1.66472,0.56909,0.51893,0.54784,0.26803,1.65917,1.55965,1.68252,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,8753.38,1.68575,1.73168,1.66561,0.57331,0.52306,0.55208,0.27144,1.65586,1.54279,1.6827,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,9218.96,1.67531,1.71046,1.6485,0.58027,0.53016,0.55969,0.27967,1.64375,1.51136,1.67053,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,9707.76,1.66652,1.69242,1.64382,0.59236,0.53182,0.57126,0.28404,1.63277,1.49346,1.66064,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,10263.5,1.66531,1.68499,1.63952,0.59415,0.5407,0.5738,0.28734,1.62553,1.50022,1.64897,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,10778.9,1.65345,1.66598,1.62993,0.5959,0.54453,0.57664,0.28718,1.62405,1.49148,1.65027,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,11301,1.64675,1.65836,1.62137,0.61953,0.53665,0.58721,0.2939,1.62216,1.46794,1.64396,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,11786.7,1.63782,1.64502,1.616,0.59555,0.55443,0.59095,0.29659,1.62391,1.45076,1.64277,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,12292.3,1.63838,1.62319,1.60259,0.5998,0.54874,0.59045,0.29728,1.61893,1.44579,1.6274,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,12851.6,1.63649,1.62625,1.60565,0.61589,0.55298,0.60253,0.30418,1.61086,1.4323,1.62729,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,13368.5,1.61922,1.60025,1.59373,0.62839,0.55476,0.60194,0.30526,1.61453,1.42754,1.62565,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,13883.4,1.61526,1.60437,1.59046,0.61932,0.55669,0.60219,0.30817,1.61092,1.42606,1.62394,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,14450.6,1.61798,1.59797,1.59209,0.62756,0.55239,0.60589,0.31015,1.6077,1.41722,1.62082,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,15013.8,1.61447,1.58684,1.58103,0.61696,0.55921,0.60458,0.31074,1.60089,1.41615,1.61462,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,15507.7,1.60966,1.57797,1.5789,0.62131,0.55672,0.60473,0.31229,1.59862,1.40607,1.60975,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,16047.3,1.60411,1.56934,1.57121,0.61082,0.57167,0.61102,0.31386,1.59654,1.39382,1.60365,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,16564.9,1.60266,1.55473,1.56328,0.6142,0.57478,0.61216,0.31721,1.59244,1.39294,1.59902,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,17096.6,1.59301,1.54257,1.55688,0.61111,0.57514,0.61389,0.31775,1.59179,1.38989,1.59601,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,17609.9,1.58882,1.53801,1.55778,0.6185,0.57185,0.61461,0.31797,1.59029,1.38586,1.59695,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,18149.5,1.58832,1.52388,1.55089,0.62314,0.56648,0.61583,0.31899,1.5925,1.3816,1.59826,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,18606.3,1.58029,1.51922,1.55187,0.614,0.57491,0.61763,0.31917,1.59122,1.3804,1.59787,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,19126,1.57938,1.51526,1.54259,0.6226,0.56911,0.61916,0.31999,1.59166,1.37804,1.59637,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,19683.5,1.56789,1.50539,1.52856,0.61961,0.58345,0.62258,0.32201,1.59063,1.3754,1.59274,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,20208.2,1.57164,1.50064,1.53582,0.62546,0.57118,0.62268,0.3225,1.59175,1.37102,1.59343,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,20692,1.56781,1.49292,1.52859,0.6332,0.56843,0.62466,0.32353,1.5906,1.36732,1.59048,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,21224,1.56144,1.48562,1.52162,0.63477,0.57027,0.62607,0.32428,1.5889,1.36573,1.58706,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,21712.7,1.55991,1.47772,1.5186,0.63093,0.57784,0.62808,0.32462,1.58946,1.36094,1.58574,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,22190.3,1.55632,1.4646,1.51602,0.62615,0.5803,0.62785,0.32542,1.58763,1.35865,1.58313,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,22677.5,1.5558,1.45986,1.51101,0.63346,0.57785,0.62815,0.32515,1.58672,1.35544,1.58117,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,23224.5,1.54982,1.45326,1.51167,0.63052,0.58211,0.62915,0.32565,1.58552,1.3539,1.57976,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,23727.3,1.54636,1.43697,1.50917,0.64252,0.57001,0.63005,0.32644,1.58522,1.35183,1.57901,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,24286.4,1.54792,1.43606,1.49915,0.64561,0.56828,0.63035,0.32661,1.58585,1.34969,1.57826,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,24874.7,1.54272,1.43487,1.49951,0.64236,0.57366,0.63055,0.32629,1.58609,1.3495,1.57759,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,25392,1.53511,1.42319,1.49409,0.6379,0.57809,0.63009,0.32656,1.58553,1.34832,1.57614,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,25929.8,1.53019,1.41126,1.48409,0.62654,0.58694,0.63083,0.32688,1.58601,1.34695,1.57547,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,26410.3,1.52773,1.4042,1.4845,0.62741,0.58673,0.63139,0.32703,1.58612,1.34566,1.57524,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,26946,1.52707,1.40309,1.48644,0.63683,0.58137,0.63172,0.32729,1.58603,1.34396,1.57458,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
