epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,415.552,1.98581,2.68767,1.73129,0.37078,0.3521,0.28276,0.1143,2.00632,2.23762,1.7451,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,770.535,1.92911,2.29217,1.66809,0.30694,0.26008,0.20549,0.08727,2.05224,2.51418,1.8474,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1081.59,1.99901,2.41493,1.75215,0.1977,0.16723,0.09176,0.03435,2.32168,3.16769,2.13808,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1392.97,2.02011,2.452,1.80129,0.36012,0.30338,0.2595,0.10587,1.96227,2.32053,1.8339,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1717.82,1.92975,2.28175,1.72927,0.40545,0.35874,0.32825,0.14184,1.87481,2.10322,1.73042,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2061.16,1.86929,2.18476,1.68627,0.41241,0.4047,0.35627,0.1615,1.81642,2.02808,1.70959,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2427.35,1.83495,2.12072,1.65821,0.4476,0.4032,0.38194,0.17186,1.81894,2.00777,1.69116,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2772.52,1.80607,2.07199,1.63303,0.4584,0.42057,0.40584,0.18554,1.79376,1.9552,1.67201,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3117.64,1.78316,2.02244,1.61056,0.48667,0.44209,0.43688,0.20388,1.76781,1.86035,1.64355,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3493.48,1.7659,1.98449,1.59972,0.49411,0.4593,0.45413,0.21375,1.73513,1.84248,1.63115,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3844.03,1.74873,1.95201,1.58038,0.51735,0.45691,0.47111,0.22278,1.72291,1.79729,1.59621,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,4191.8,1.73496,1.92741,1.57484,0.53896,0.46761,0.48164,0.2259,1.71756,1.77488,1.6197,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,4567.66,1.72531,1.90339,1.56141,0.5444,0.49471,0.49917,0.24106,1.70305,1.74427,1.57362,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4911.54,1.7119,1.89199,1.55436,0.55162,0.49381,0.49884,0.24239,1.68648,1.7264,1.5589,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,5257.45,1.70397,1.85406,1.53861,0.54226,0.4903,0.5047,0.24407,1.68156,1.70245,1.55328,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,5625.61,1.68752,1.84135,1.53135,0.54867,0.51052,0.5206,0.25407,1.66444,1.68,1.54714,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,5973.68,1.68469,1.82916,1.5263,0.57853,0.50016,0.53754,0.26401,1.65089,1.64312,1.52612,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,6373.54,1.67503,1.80397,1.51545,0.56156,0.51467,0.54231,0.26907,1.64489,1.62258,1.52564,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,6745.56,1.66291,1.7882,1.51015,0.57242,0.52788,0.54368,0.26935,1.63998,1.61643,1.53062,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,7167.49,1.67127,1.78994,1.51305,0.57729,0.52703,0.55275,0.27552,1.64033,1.60788,1.52582,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,7566.11,1.65948,1.76384,1.49916,0.59335,0.51583,0.56654,0.28505,1.62528,1.56874,1.50838,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,8000.01,1.64991,1.75267,1.49379,0.59488,0.53525,0.5732,0.2887,1.61485,1.56824,1.50864,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,8422.91,1.64699,1.74344,1.49108,0.60653,0.52733,0.57559,0.29328,1.60804,1.55098,1.49589,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,8835.85,1.63784,1.7281,1.48553,0.59597,0.55736,0.58307,0.2951,1.61137,1.54544,1.49564,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,9271.87,1.63037,1.72031,1.4812,0.60713,0.54352,0.58402,0.29547,1.60515,1.54041,1.49072,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,9689.52,1.61988,1.70673,1.4681,0.61078,0.55241,0.59158,0.30176,1.60831,1.52581,1.48858,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,10113,1.62337,1.68794,1.46508,0.62698,0.54245,0.59227,0.30441,1.60136,1.51325,1.47891,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,10532.1,1.62038,1.68741,1.46924,0.63294,0.54799,0.60241,0.3111,1.59161,1.49857,1.47643,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,10944.4,1.60447,1.66692,1.45694,0.61071,0.56385,0.5996,0.30948,1.58819,1.49339,1.47294,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,11344,1.6036,1.66447,1.45476,0.63685,0.55246,0.60632,0.31363,1.57907,1.48817,1.46703,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,11715.1,1.60426,1.66521,1.45538,0.62488,0.55949,0.60457,0.31272,1.58216,1.48486,1.46761,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,12148.9,1.60216,1.65155,1.44601,0.62006,0.56717,0.60756,0.31591,1.5776,1.48195,1.4594,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,12558.7,1.59778,1.64998,1.44914,0.63702,0.55295,0.61252,0.31944,1.57925,1.47389,1.46179,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,13009.7,1.58881,1.63541,1.44292,0.63631,0.56733,0.6187,0.32152,1.57973,1.46384,1.46182,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,13433.2,1.58757,1.6259,1.43285,0.63676,0.56485,0.61914,0.32201,1.57686,1.46192,1.45734,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,13848.2,1.58313,1.61547,1.43363,0.63867,0.56263,0.61955,0.32281,1.57723,1.4575,1.45442,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,14278.1,1.57711,1.61262,1.42963,0.63302,0.56951,0.61922,0.32279,1.57431,1.45495,1.45288,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,14684.4,1.57694,1.59357,1.42387,0.63767,0.5732,0.61854,0.32302,1.57522,1.45336,1.45334,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,15097.6,1.56964,1.59125,1.42407,0.63514,0.57904,0.61899,0.32225,1.57762,1.4499,1.45347,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,15522.6,1.56984,1.58842,1.41816,0.6419,0.57326,0.62058,0.32306,1.57495,1.4457,1.45035,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
