epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,552.28,2.76144,4.01069,3.32094,0.30505,0.24221,0.17789,0.06266,2.29922,2.80499,2.80264,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,1060.58,2.07174,2.84419,2.43484,0.34078,0.30064,0.24439,0.09749,2.01179,2.61267,2.40617,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1533.05,2.01122,2.70641,2.31172,0.23874,0.23687,0.14236,0.05432,2.14775,3.12437,2.50379,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1994.75,1.98999,2.66151,2.2288,0.33172,0.31264,0.24992,0.09964,1.94226,2.47151,2.21812,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2449.47,1.90599,2.47306,2.1238,0.39011,0.35442,0.31862,0.13228,1.88268,2.3562,2.13961,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2905.41,1.84808,2.36524,2.06522,0.41326,0.38841,0.35629,0.15675,1.80744,2.13746,2.06649,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3347.16,1.8198,2.28523,2.0254,0.44044,0.40876,0.3856,0.17101,1.79378,2.04109,2.04243,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3798.37,1.79346,2.23405,1.98821,0.4478,0.39649,0.3761,0.17033,1.81054,2.06315,2.0502,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4249.52,1.77042,2.17431,1.95741,0.49996,0.44472,0.43829,0.20254,1.71982,1.92986,1.95039,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4699.09,1.75807,2.13156,1.94184,0.51298,0.43151,0.44443,0.20903,1.72869,1.90106,1.95614,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,5146.54,1.73687,2.08423,1.91618,0.50304,0.44158,0.44607,0.21154,1.71078,1.88045,1.9314,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5590.79,1.72672,2.0593,1.90169,0.53055,0.45762,0.47358,0.22339,1.69622,1.82305,1.91441,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,6028.88,1.71781,2.02418,1.89176,0.55425,0.47307,0.5065,0.24175,1.68849,1.76182,1.89856,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,6460.22,1.71038,2.00901,1.88287,0.52973,0.49021,0.50231,0.24173,1.67821,1.74727,1.88601,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
