epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,558.066,2.76361,3.99323,3.36847,0.29055,0.24755,0.16996,0.05966,2.23789,2.88503,2.75077,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,1052.37,2.06095,2.85207,2.44075,0.3449,0.28341,0.23562,0.09657,2.01064,2.61551,2.39097,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1603.78,2.00746,2.70885,2.30656,0.19774,0.24345,0.12918,0.04786,2.16269,3.28529,2.50973,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,2083.08,1.98169,2.65924,2.21983,0.33138,0.29478,0.25132,0.10574,1.97182,2.62089,2.26102,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2583.14,1.90238,2.47114,2.10138,0.41838,0.36597,0.33903,0.14535,1.85334,2.23214,2.0865,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,3042.02,1.85043,2.36158,2.04848,0.43526,0.36919,0.35515,0.15448,1.80826,2.12612,2.04006,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3499.7,1.81519,2.2859,2.00516,0.47116,0.40416,0.39401,0.17975,1.78081,2.02747,2.01027,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3956.39,1.79228,2.22773,1.97961,0.45057,0.41402,0.39124,0.1779,1.78742,2.00865,2.03738,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4404.35,1.76913,2.16962,1.94772,0.49871,0.42601,0.42752,0.19829,1.74916,1.9431,1.94899,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4858.6,1.75918,2.12596,1.93049,0.48081,0.44537,0.4402,0.20777,1.73017,1.89281,1.95131,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
