epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,474.616,2.89579,3.58642,3.2028,0.26753,0.28725,0.1892,0.0656,2.31503,2.51395,2.57516,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,924.327,2.1239,2.46705,2.23753,0.31275,0.27749,0.22797,0.09231,2.10705,2.33189,2.27196,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1337.11,2.06969,2.42487,2.11345,0.21839,0.21333,0.13716,0.04973,2.20999,2.74557,2.35104,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1745.83,2.05044,2.41493,2.04066,0.37301,0.33624,0.28465,0.11845,1.95678,2.17947,2.04327,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2159.09,1.95028,2.24494,1.93243,0.36378,0.34819,0.28656,0.11705,1.94051,2.30654,2.01378,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2576.18,1.89684,2.15452,1.87646,0.44646,0.40977,0.38151,0.16626,1.86002,1.97158,1.88625,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2987.51,1.85795,2.08509,1.83039,0.45866,0.40352,0.38128,0.1694,1.82295,1.96251,1.86327,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3414.08,1.83088,2.0338,1.80049,0.45666,0.40649,0.39198,0.17925,1.81671,1.90552,1.84088,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3868.84,1.79896,1.98061,1.76883,0.50262,0.42832,0.42398,0.19431,1.7797,1.83216,1.80551,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4315.17,1.7875,1.9418,1.75415,0.51139,0.44641,0.45518,0.21089,1.75217,1.77842,1.77832,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4712.97,1.76655,1.90764,1.7383,0.50748,0.46389,0.46329,0.21879,1.72318,1.75289,1.74466,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
