epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,524.98,2.95999,4.14157,3.4771,0.17509,0.18128,0.08718,0.02609,2.48518,3.04069,2.94517,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,1034.38,2.16664,3.00705,2.52963,0.28081,0.246,0.18141,0.06939,2.07966,2.64418,2.48678,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1487.81,2.07009,2.83938,2.38897,0.25101,0.23976,0.13905,0.04794,2.17392,3.26071,2.57968,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,2063.94,2.02823,2.75634,2.31191,0.34227,0.29145,0.24182,0.09102,1.99364,2.50002,2.33753,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2787.14,1.94401,2.57464,2.20896,0.37616,0.3057,0.27236,0.10475,1.95475,2.44904,2.25867,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,3469.72,1.89662,2.47315,2.15664,0.36367,0.34198,0.2907,0.12159,1.84882,2.29184,2.16764,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,4262.26,1.86502,2.4002,2.12038,0.41086,0.37049,0.34117,0.14014,1.8462,2.19157,2.15808,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,4988.12,1.84467,2.34732,2.10072,0.4096,0.38959,0.35537,0.14928,1.86711,2.1376,2.20561,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,5550.73,1.81917,2.29771,2.06289,0.44121,0.40638,0.38935,0.16603,1.82003,2.05611,2.12349,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,6179.66,1.80531,2.25741,2.05502,0.43917,0.4099,0.38234,0.15913,1.80693,2.086,2.11141,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,6782.41,1.79144,2.21148,2.03445,0.46159,0.40777,0.39938,0.17161,1.79103,2.02682,2.0972,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
