epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,560.676,2.76666,4.0104,3.33789,0.30327,0.2645,0.1894,0.06302,2.24026,2.69662,2.74061,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,1036.39,2.06111,2.8494,2.43814,0.31843,0.29269,0.23542,0.09733,2.00212,2.47871,2.39729,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1474.61,2.00992,2.70994,2.30735,0.19056,0.25712,0.1213,0.04336,2.13355,3.40364,2.53968,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1921.39,1.99228,2.67644,2.23281,0.27548,0.26428,0.19062,0.07194,2.00902,2.69572,2.29785,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2351.36,1.90095,2.46861,2.11506,0.41779,0.3519,0.33047,0.14336,1.85693,2.25719,2.12521,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2783.35,1.84946,2.36747,2.05435,0.43676,0.39065,0.37558,0.16646,1.81334,2.10285,2.0716,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3212.27,1.81979,2.28896,2.02024,0.44431,0.40874,0.38305,0.1716,1.80128,2.09595,2.01001,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3658,1.79758,2.22809,1.98959,0.45749,0.42215,0.40801,0.18489,1.78845,1.98248,2.02607,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4096.6,1.77318,2.17075,1.95467,0.47372,0.43596,0.42735,0.19931,1.74106,1.9359,1.97308,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4528.55,1.75927,2.13155,1.93891,0.49355,0.44072,0.45168,0.20983,1.74586,1.89982,1.96214,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4966.84,1.73861,2.08232,1.90981,0.5194,0.44855,0.46238,0.21718,1.7111,1.85271,1.9332,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5406.93,1.72597,2.05504,1.90309,0.5118,0.46065,0.46572,0.21992,1.69932,1.82493,1.91081,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,5846.38,1.71874,2.02728,1.89267,0.54115,0.48389,0.49707,0.23552,1.68296,1.78865,1.8974,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,6273.2,1.71076,2.01089,1.87653,0.54167,0.49091,0.50592,0.24347,1.67645,1.73232,1.86998,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6713.08,1.69699,1.97312,1.8574,0.55235,0.49185,0.51222,0.24391,1.6789,1.7473,1.87477,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,7132.43,1.68892,1.94796,1.84518,0.5403,0.50128,0.52083,0.25648,1.66749,1.68666,1.85225,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,7567.17,1.6841,1.93882,1.84291,0.55966,0.50008,0.5294,0.26137,1.63979,1.67391,1.84769,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,8014.75,1.67126,1.90487,1.82464,0.54965,0.51879,0.53549,0.26315,1.65319,1.66194,1.8447,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,8438.2,1.66147,1.88854,1.8186,0.55625,0.52858,0.54475,0.26869,1.62585,1.63975,1.83006,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,8877.17,1.66775,1.87785,1.81483,0.5913,0.5178,0.55784,0.27798,1.64377,1.60906,1.82092,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,9311.15,1.65823,1.85895,1.80318,0.61219,0.50666,0.56433,0.28271,1.61833,1.58771,1.80642,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,9739.22,1.64956,1.83818,1.79404,0.6039,0.51798,0.57188,0.28576,1.61432,1.56385,1.79831,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,10162.2,1.64785,1.82568,1.79245,0.58189,0.53545,0.56588,0.2876,1.60866,1.56539,1.78396,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,10591.5,1.63681,1.80627,1.77742,0.61149,0.53173,0.57779,0.28934,1.61008,1.55159,1.77674,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,11023.8,1.62788,1.79945,1.77,0.59075,0.54937,0.58277,0.29503,1.60285,1.53706,1.77873,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,11458.4,1.62152,1.78775,1.76534,0.60439,0.5446,0.5882,0.29786,1.60577,1.52152,1.77587,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,11893.2,1.62204,1.76532,1.75963,0.61732,0.5366,0.58951,0.29832,1.59663,1.51227,1.76586,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,12302.5,1.61948,1.76556,1.75918,0.64383,0.53783,0.598,0.30399,1.58922,1.49121,1.76283,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,12729.3,1.60762,1.73369,1.74984,0.6471,0.54237,0.59982,0.30466,1.5946,1.48153,1.76501,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,13172.3,1.60581,1.73729,1.74631,0.61472,0.5611,0.59997,0.30638,1.58619,1.47626,1.75305,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,13585.3,1.60317,1.73463,1.74494,0.62666,0.55835,0.60522,0.31068,1.58523,1.46819,1.75031,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,14004.3,1.6039,1.72136,1.74131,0.63741,0.54697,0.60554,0.31242,1.57836,1.46742,1.74513,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
